family,group,n,diff,p_raw,p_fdr
GPT_rater_affective_gender,female,78,0.3076923076923077,1.5015793492544472e-05,1.5015793492544472e-05
GPT_rater_affective_gender,male,78,0.358974358974359,2.239180606805936e-07,4.478361213611872e-07
Claude_rater_affective_gender,female,78,-0.24358974358974358,0.010917521742569268,0.010917521742569268
Claude_rater_affective_gender,male,78,-0.2692307692307692,0.0005369825562432688,0.0010739651124865375
GPT_rater_affective_ethnicity,African,52,0.3076923076923077,0.00015806177778751574,0.0002370926666812736
GPT_rater_affective_ethnicity,Asian,52,0.2692307692307692,0.0005708748572292322,0.0005708748572292322
GPT_rater_affective_ethnicity,European,52,0.4230769230769231,1.4792224007721858e-05,4.437667202316558e-05
Claude_rater_affective_ethnicity,African,52,-0.23076923076923078,0.026988499626086907,0.04048274943913036
Claude_rater_affective_ethnicity,Asian,52,-0.11538461538461539,0.2608179826165264,0.2608179826165264
Claude_rater_affective_ethnicity,European,52,-0.4230769230769231,0.00016504329010593038,0.0004951298703177912
GPT_rater_affective_education,high school diploma or lower,60,0.21666666666666667,0.00569849500432231,0.00569849500432231
GPT_rater_affective_education,medical degree,48,0.4166666666666667,2.523474708672467e-06,7.570424126017401e-06
GPT_rater_affective_education,university degree,48,0.3958333333333333,1.7704464235214522e-05,2.6556696352821784e-05
Claude_rater_affective_education,high school diploma or lower,60,-0.03333333333333333,0.7347188223940575,0.7347188223940575
Claude_rater_affective_education,medical degree,48,-0.4166666666666667,0.00029873178016611866,0.0005114338531414123
Claude_rater_affective_education,university degree,48,-0.375,0.0003409559020942748,0.0005114338531414123
GPT_rater_affective_diagnosis,Alzheimer’s,36,0.3611111111111111,8.3966539652037e-05,0.0002365514872921944
GPT_rater_affective_diagnosis,Chronic Ischemic Heart Disease,36,0.3333333333333333,0.0006544951257586248,0.0008726601676781664
GPT_rater_affective_diagnosis,obesity,48,0.20833333333333334,0.016766118890767415,0.016766118890767415
GPT_rater_affective_diagnosis,pancreatic cancer,36,0.4722222222222222,0.0001182757436460972,0.0002365514872921944
Claude_rater_affective_diagnosis,Alzheimer’s,36,-0.25,0.04797718670719506,0.09595437341439012
Claude_rater_affective_diagnosis,Chronic Ischemic Heart Disease,36,-0.6111111111111112,1.439806970929261e-05,5.759227883717044e-05
Claude_rater_affective_diagnosis,obesity,48,-0.0625,0.5184023849168529,0.5184023849168529
Claude_rater_affective_diagnosis,pancreatic cancer,36,-0.16666666666666666,0.20516797022089106,0.27355729362785475
GPT_rater_affective_age_group,18-49,18,0.2222222222222222,0.10368452799990824,0.13824603733321097
GPT_rater_affective_age_group,50-64,54,0.37037037037037035,0.00011386137804563444,0.00022772275609126888
GPT_rater_affective_age_group,65+,72,0.3611111111111111,2.676758195249531e-07,1.0707032780998125e-06
GPT_rater_affective_age_group,<18,12,0.16666666666666666,0.16608681351829566,0.16608681351829566
Claude_rater_affective_age_group,18-49,18,-0.1111111111111111,0.4952660907838654,0.4952660907838654
Claude_rater_affective_age_group,50-64,54,-0.2037037037037037,0.04716891446566271,0.09433782893132542
Claude_rater_affective_age_group,65+,72,-0.3472222222222222,0.0002866615232774269,0.0011466460931097075
Claude_rater_affective_age_group,<18,12,-0.16666666666666666,0.43820589933765786,0.4952660907838654
