model,metric,comparison,mean_CIHD,mean_PanCan,delta_mean,t_stat,p_raw,n_CIHD,n_PanCan,mean_Obes,n_Obes,mean_Alz,n_Alz,mean_pooled,n_pooled,p_adj,significant_fdr_0.05
Claude,"Flesch-Kincaid
Grade",CIHD vs PanCan,9.924999999999999,8.93611111111111,0.9888888888888889,1.9492413667903694,0.05126660699536889,36,36.0,,,,,,,0.12816651748842223,False
Claude,"Flesch-Kincaid
Grade",CIHD vs Obes,9.924999999999999,,-0.125,-0.19621757076528124,0.8444398758934129,36,,10.049999999999999,48.0,,,,,0.9307930564728817,False
Claude,"Flesch-Kincaid
Grade",CIHD vs Alz,9.924999999999999,,0.8611111111111089,1.6952311755527152,0.09003157503990589,36,,,,9.06388888888889,36.0,,,0.20007016675534642,False
Claude,"Flesch-Kincaid
Grade",CIHD vs pooled_others,9.924999999999999,,0.504999999999999,1.110407313162164,0.26682354827136234,36,,,,,,9.42,120.0,0.38117649753051763,False
Claude,"SMOG
Index",CIHD vs PanCan,12.177777777777777,11.78888888888889,0.3888888888888875,0.7968286604085938,0.4255505474683934,36,36.0,,,,,,,0.567400729957858,False
Claude,"SMOG
Index",CIHD vs Obes,12.177777777777777,,-0.15555555555555678,-0.25399405670964154,0.7995001496341341,36,,12.333333333333334,48.0,,,,,0.9307930564728817,False
Claude,"SMOG
Index",CIHD vs Alz,12.177777777777777,,0.03611111111110965,0.0723798231100757,0.9422996414991318,36,,,,12.141666666666667,36.0,,,0.9422996414991317,False
Claude,"SMOG
Index",CIHD vs pooled_others,12.177777777777777,,0.06527777777777644,0.14557943480962623,0.8842534036492375,36,,,,,,12.1125,120.0,0.9307930564728817,False
Claude,"Gunning Fog
Index",CIHD vs PanCan,12.20388888888889,11.0675,1.1363888888888898,1.95494548981982,0.050589504530905716,36,36.0,,,,,,,0.12816651748842223,False
Claude,"Gunning Fog
Index",CIHD vs Obes,12.20388888888889,,0.16305555555555706,0.22704115284833526,0.8203917422735743,36,,12.040833333333333,48.0,,,,,0.9307930564728817,False
Claude,"Gunning Fog
Index",CIHD vs Alz,12.20388888888889,,0.8463888888888906,1.4048036579914907,0.16007967104636078,36,,,,11.3575,36.0,,,0.31785437292480706,False
