Prompt Number,Empathy Score,Understandability Score
1,4,4
2,4,4
3,5,5
4,4,5
5,4,4
6,4,5
7,4,5
8,4,5
9,4,5
10,4,5
11,5,5
12,4,5
13,5,5
14,5,5
15,2,3
16,4,4
17,5,5
18,4,5
19,5,5
20,5,5
21,5,5
22,4,4
23,5,5
24,4,5
25,4,4
26,4,4
27,4,4
28,4,4
29,4,4
30,4,4
31,5,5
32,5,5
33,5,5
34,4,4
35,5,5
36,5,5
37,5,5
38,5,4
39,4,5
40,5,5
41,5,4
42,3,4
43,4,4
44,5,4
45,4,5
46,4,5
47,4,4
48,5,5
49,4,4
50,5,4
51,3,4
52,4,4
53,4,5
54,5,5
55,4,4
56,5,5
57,4,5
58,4,4
59,4,5
60,4,4
61,4,5
62,4,5
63,4,4
64,4,5
65,4,4
66,5,4
67,4,5
68,5,4
69,5,5
70,4,5
71,4,5
72,5,5
73,3,4
74,5,5
75,4,5
76,4,5
77,4,5
78,4,5
79,4,4
80,4,5
81,4,4
82,5,5
83,5,4
84,4,5
85,4,5
86,4,5
87,4,4
88,4,5
89,4,5
90,4,5
91,5,5
92,4,5
93,4,5
94,5,5
95,5,5
96,5,4
97,4,5
98,5,4
99,5,5
100,4,4
101,4,5
102,5,5
103,5,4
104,4,4
105,5,5
106,4,5
107,4,4
108,5,5
109,5,5
110,5,4
111,5,5
112,5,5
113,4,4
114,5,5
115,5,5
116,4,5
117,5,5
118,4,4
119,4,5
120,5,4
121,4,4
122,4,4
123,4,5
124,5,5
125,4,4
126,4,5
127,5,5
128,3,4
129,5,5
130,5,5
131,4,4
132,4,5
133,5,5
134,4,5
135,4,4
136,5,5
137,4,4
138,4,5
139,4,5
140,4,5
141,4,5
142,4,4
143,5,4
144,5,5
