Prompt Number,Empathy Score,Understandability Score
1,5,4
2,4,4
3,4,5
4,5,5
5,5,5
6,5,5
7,5,5
8,5,4
9,4,5
10,4,5
11,5,5
12,4,5
13,4,5
14,5,5
15,5,5
17,3,4
18,4,5
19,3,4
20,4,5
21,4,5
22,4,4
23,5,5
24,5,5
25,5,4
26,5,5
27,4,4
28,4,4
29,5,5
30,4,5
31,4,5
32,5,5
33,4,4
34,5,5
35,5,5
36,4,5
37,4,5
38,4,5
39,4,5
40,4,5
41,5,5
42,4,4
43,5,5
44,4,5
45,4,4
46,5,5
47,5,5
48,4,5
49,4,5
50,5,5
51,4,4
52,4,5
53,4,4
54,4,5
55,5,5
56,4,4
57,4,4
58,5,5
59,5,5
60,4,5
61,1,1
62,4,5
63,5,5
64,4,5
65,4,5
66,4,5
67,4,5
68,4,5
69,4,5
70,5,5
71,4,5
72,4,5
73,4,5
74,4,4
75,4,5
76,4,5
77,5,4
78,4,5
79,5,5
80,5,5
81,3,3
82,4,5
83,5,5
84,5,5
85,4,5
86,3,4
87,4,5
88,4,5
89,5,5
90,5,5
91,4,4
92,4,5
93,5,5
94,4,5
95,4,5
96,5,5
97,4,5
98,4,5
99,5,5
100,5,5
101,4,5
103,3,5
104,4,5
105,4,5
106,4,4
108,4,5
109,4,4
110,4,4
111,4,5
112,4,5
113,4,5
114,4,5
115,4,5
116,5,5
117,4,4
118,5,5
119,5,5
120,4,5
121,5,5
122,5,5
123,4,4
124,5,5
125,5,5
126,5,5
127,4,5
128,2,2
129,4,4
130,5,5
131,4,5
132,4,5
133,4,5
134,4,5
135,3,4
136,5,5
137,4,5
138,5,5
139,4,5
140,4,3
141,4,5
142,4,4
143,5,5
144,4,4
