Prompt Number,Empathy Score,Understandability Score
1,5,5
2,4,4
3,5,4
4,5,4
5,5,4
6,5,4
7,4,4
8,4,4
9,4,4
10,4,5
11,5,4
12,4,4
13,5,4
14,4,4
15,4,4
16,2,2
17,3,3
18,4,4
19,3,4
20,5,5
21,5,5
22,4,4
23,5,4
24,5,4
25,5,4
26,5,5
27,4,5
28,4,4
29,5,5
30,4,4
31,5,5
32,4,5
33,4,4
34,5,4
35,5,4
36,4,4
37,2,4
38,5,5
39,4,4
40,4,4
41,5,4
42,5,4
43,4,4
44,5,4
45,4,4
46,4,4
47,5,4
48,5,4
49,4,4
50,5,5
51,5,4
52,4,5
53,4,4
54,5,4
55,5,4
56,5,5
57,4,4
58,5,5
59,5,4
60,4,4
61,2,2
62,4,4
63,4,4
64,4,4
65,4,4
66,4,4
67,5,5
68,5,4
69,5,5
70,5,5
71,5,4
72,5,5
73,4,4
74,4,4
75,4,5
76,5,5
77,5,5
78,2,3
79,4,4
80,4,4
81,2,3
82,4,4
83,4,5
84,5,5
85,5,4
86,4,5
87,4,4
88,5,5
89,4,4
90,5,5
91,5,4
92,4,4
93,5,5
94,4,4
95,4,4
96,3,4
97,4,4
98,4,4
99,5,5
100,4,5
101,5,5
102,4,4
103,4,4
104,4,4
105,4,4
106,4,4
107,3,3
108,4,5
109,4,5
110,4,3
111,4,4
112,4,4
113,5,4
114,5,4
115,4,5
116,4,4
117,5,4
118,5,4
119,5,4
120,4,5
121,4,5
122,5,5
123,5,4
124,5,5
125,5,5
126,4,5
127,4,4
128,1,2
129,4,4
130,4,4
131,5,4
132,4,5
133,4,5
134,5,5
135,5,4
136,5,5
137,4,4
138,5,5
139,5,5
140,2,3
141,5,5
142,4,4
143,4,4
144,3,4
