Prompt Number,Empathy Score,Understandability Score
1,5,4
2,4,5
3,4,5
4,4,5
5,5,5
6,4,4
7,4,4
8,4,4
9,5,5
10,5,5
11,4,5
12,4,4
13,5,5
14,5,4
15,3,3
16,5,5
17,4,5
18,4,5
19,5,5
20,4,4
21,5,5
22,4,4
23,5,4
24,4,5
25,4,5
26,4,4
27,5,5
28,4,4
29,4,5
30,4,4
31,4,5
32,5,5
33,4,4
34,4,4
35,4,4
36,5,5
37,4,4
38,5,5
39,4,5
40,4,5
41,4,4
42,3,4
43,3,4
44,5,4
45,4,4
46,4,4
47,4,5
48,5,4
49,4,5
50,5,5
51,4,5
52,5,5
53,5,4
54,5,5
55,4,4
56,4,5
57,4,4
58,4,3
59,5,5
60,5,5
61,4,5
62,5,5
63,4,4
64,4,5
65,4,5
66,4,4
67,4,5
68,5,5
69,5,5
70,5,5
71,4,5
72,5,5
73,3,3
74,5,5
75,4,5
76,5,5
77,5,5
78,4,5
79,4,4
80,4,4
81,4,5
82,5,5
83,5,5
84,4,5
85,4,5
86,4,5
87,4,4
88,4,5
89,4,5
90,5,5
91,5,5
92,4,4
93,5,5
94,5,5
95,5,5
96,5,5
97,4,4
98,5,5
99,4,5
100,4,4
101,4,5
102,4,4
103,5,5
104,4,4
105,5,5
106,4,5
107,4,4
108,4,4
109,4,5
110,4,4
111,4,5
112,5,5
113,4,4
114,5,5
115,4,5
116,4,5
117,4,5
118,4,4
119,4,5
120,5,4
121,4,4
122,4,4
123,4,4
124,4,4
125,4,4
126,4,4
127,5,4
128,4,5
129,4,4
130,5,5
131,5,4
132,4,5
133,4,4
134,5,5
135,4,4
136,5,5
137,5,5
138,4,5
139,4,5
140,4,5
141,5,5
142,4,4
143,4,4
144,4,5
