Prompt Number,Empathy Score,Understandability Score
1,5,4
2,5,4
5,5,5
6,5,4
7,4,5
8,5,5
9,5,4
10,5,4
3,5,5
4,4,4
11,5,4
12,4,4
13,5,4
14,5,4
15,1,2
16,5,5
17,4,4
18,4,4
19,4,4
20,4,4
21,4,4
22,5,4
23,5,4
24,5,5
25,4,4
26,4,4
27,5,4
28,4,4
29,4,5
30,4,4
31,5,5
32,5,4
33,5,5
34,4,4
35,5,5
36,5,4
37,5,5
38,4,4
39,4,4
40,5,4
41,5,4
42,4,4
43,4,4
44,5,5
45,5,4
46,5,4
47,4,4
48,5,4
49,5,4
50,4,4
51,4,4
52,4,4
53,5,5
54,5,4
55,4,4
56,5,4
57,4,4
58,4,4
59,4,4
60,5,5
61,4,4
62,5,5
63,4,4
64,5,5
65,5,4
66,4,5
67,4,4
68,5,4
69,5,5
70,4,4
71,5,5
72,5,5
73,4,4
74,5,4
75,5,5
76,5,5
77,4,5
78,5,4
79,4,5
80,4,5
81,5,4
82,5,4
83,5,4
84,4,5
85,5,4
86,5,4
87,4,4
88,5,5
89,5,5
90,4,4
91,5,4
92,4,4
93,5,4
94,4,4
95,5,5
96,4,5
97,4,4
98,5,4
99,5,4
100,4,4
101,4,5
102,4,4
103,5,4
104,5,5
105,4,4
106,4,4
107,5,4
108,5,4
109,5,5
110,5,4
111,4,4
112,5,4
113,4,4
114,5,4
115,5,5
116,4,5
117,5,5
118,5,4
119,4,4
120,5,4
121,4,4
122,5,4
123,4,4
124,5,5
125,5,5
126,5,4
127,4,5
128,4,4
129,5,5
130,5,4
131,5,4
132,4,4
133,5,4
134,5,4
135,5,5
136,4,4
137,5,4
138,5,4
139,4,4
140,5,5
141,5,5
142,5,5
143,5,4
144,4,4
